Snickers,1.86,Candy,Sams,44.98,48,2.00
Reeses,1.50,Candy,Sams,33.98,36,2.00
M&M Peanut,1.86,Candy,Sams,44.98,48,2.00
Skittles Original,2.17,Candy,Sams,33.98,48,2.00
Pure Protein Bar Asst.,1.76,Meals,Sams,23.98,23,2.25
